SalesOrderNumber_CY,OrderDate,SalesPerson,SalesRegion,SalesProvince,SalesCity,SalesPostalCode,CustomerCode,CustomerName,CustomerRegion,CustomerProvince,CustomerCity,CustomerPostalCode,ProductCategory,ProductSubCategory,ProductName,ProductCode,UnitCost_CY,UnitPrice_CY,UnitPriceDiscount_CY,OrderQty_CY,UnitFreightCost_CY,ActualSales_CY,COGS_CY,FrontMargin_CY,GrossMargin_CY,IsPromo_CY,SalesOrderNumber_LY,UnitCost_LY,UnitPrice_LY,UnitPriceDiscount_LY,OrderQty_LY,UnitFreightCost_LY,ActualSales_LY,COGS_LY,FrontMargin_LY,GrossMargin_LY,IsPromo_LY
SO46620,2006-07-01,Michael Blythe,United States,Michigan,Detroit,48226,AW00029844,Seventh Bike Store,United States,New Hampshire,Plaistow,3865,Accessories,Helmets,"Sport-100 Helmet, Red",HL-U509-R,13.0863,34.99,0.1,2.0,30.2868,62.982000000000006,26.1726,36.80940000000001,-23.764199999999988,1.0,SO43673,13.0863,34.99,0.0,4.0,10.1693,139.96,52.3452,87.6148,46.9376,0.0
SO46620,2006-07-01,Michael Blythe,United States,Michigan,Detroit,48226,AW00029844,Seventh Bike Store,United States,New Hampshire,Plaistow,3865,Bikes,Road Bikes,"Road-650 Red, 62",BK-R50R-62,486.7066,782.99,0.0,3.0,30.2868,2348.9700000000003,1460.1198,888.8502000000003,797.9898000000003,0.0,SO43673,486.7066,782.99,0.0,2.0,10.1693,1565.98,973.4132,592.5668000000001,572.2282,0.0
SO46620,2006-07-01,Michael Blythe,United States,Michigan,Detroit,48226,AW00029844,Seventh Bike Store,United States,New Hampshire,Plaistow,3865,Clothing,Caps,AWC Logo Cap,CA-1098,6.9223,8.99,0.0,4.0,30.2868,35.96,27.6892,8.270800000000001,-112.87639999999999,0.0,SO43673,6.9223,8.99,0.0,1.0,10.1693,8.99,6.9223,2.0677000000000003,-8.1016,0.0
SO46620,2006-07-01,Michael Blythe,United States,Michigan,Detroit,48226,AW00029844,Seventh Bike Store,United States,New Hampshire,Plaistow,3865,Bikes,Road Bikes,"Road-650 Black, 52",BK-R50B-52,486.7066,782.99,0.0,3.0,30.2868,2348.9700000000003,1460.1198,888.8502000000003,797.9898000000003,0.0,SO43673,486.7066,782.99,0.0,2.0,10.1693,1565.98,973.4132,592.5668000000001,572.2282,0.0
SO46620,2006-07-01,Michael Blythe,United States,Michigan,Detroit,48226,AW00029844,Seventh Bike Store,United States,New Hampshire,Plaistow,3865,Components,Road Frames,"LL Road Frame - Red, 60",FR-R38R-60,187.1571,337.22,0.0,3.0,30.2868,1011.6600000000001,561.4713,450.18870000000004,359.3283,0.0,SO43673,187.1571,337.22,0.0,1.0,10.1693,337.22,187.1571,150.0629,139.89360000000002,0.0
SO46620,2006-07-01,Michael Blythe,United States,Michigan,Detroit,48226,AW00029844,Seventh Bike Store,United States,New Hampshire,Plaistow,3865,Bikes,Road Bikes,"Road-650 Red, 44",BK-R50R-44,486.7066,782.99,0.3,3.0,30.2868,1644.279,1460.1198,184.15920000000006,93.29880000000006,1.0,SO43673,486.7066,782.99,0.0,1.0,10.1693,782.99,486.7066,296.28340000000003,286.1141,0.0
SO46620,2006-07-01,Michael Blythe,United States,Michigan,Detroit,48226,AW00029844,Seventh Bike Store,United States,New Hampshire,Plaistow,3865,Accessories,Helmets,"Sport-100 Helmet, Black",HL-U509,13.0863,34.99,0.1,2.0,30.2868,62.982000000000006,26.1726,36.80940000000001,-23.764199999999988,1.0,SO43673,13.0863,34.99,0.0,2.0,10.1693,69.98,26.1726,43.8074,23.4688,0.0
SO46620,2006-07-01,Michael Blythe,United States,Michigan,Detroit,48226,AW00029844,Seventh Bike Store,United States,New Hampshire,Plaistow,3865,Components,Road Frames,"LL Road Frame - Black, 52",FR-R38B-52,204.6251,337.22,0.0,1.0,30.2868,337.22,204.6251,132.59490000000002,102.30810000000002,0.0,SO43673,204.6251,337.22,0.0,2.0,10.1693,674.44,409.2502,265.18980000000005,244.85120000000006,0.0
SO46629,2006-07-01,Jillian Carson,United States,Minnesota,Duluth,55802,AW00029827,First Bike Store,United States,Missouri,Odessa,64076,Accessories,Helmets,"Sport-100 Helmet, Black",HL-U509,13.0863,34.99,0.1,1.0,77.1477,31.491000000000003,13.0863,18.404700000000005,-58.742999999999995,1.0,SO43675,13.0863,34.99,0.0,1.0,18.9887,34.99,13.0863,21.9037,2.914999999999999,0.0
SO46629,2006-07-01,Jillian Carson,United States,Minnesota,Duluth,55802,AW00029827,First Bike Store,United States,Missouri,Odessa,64076,Bikes,Road Bikes,"Road-650 Red, 62",BK-R50R-62,486.7066,782.99,0.0,4.0,77.1477,3131.96,1946.8264,1185.1336000000001,876.5428000000002,0.0,SO43675,486.7066,782.99,0.0,4.0,18.9887,3131.96,1946.8264,1185.1336000000001,1109.1788000000001,0.0
SO46629,2006-07-01,Jillian Carson,United States,Minnesota,Duluth,55802,AW00029827,First Bike Store,United States,Missouri,Odessa,64076,Bikes,Road Bikes,"Road-650 Red, 44",BK-R50R-44,486.7066,782.99,0.3,6.0,77.1477,3288.558,2920.2396,368.3184000000001,-94.56779999999992,1.0,SO43675,486.7066,782.99,0.0,2.0,18.9887,1565.98,973.4132,592.5668000000001,554.5894000000001,0.0
SO46629,2006-07-01,Jillian Carson,United States,Minnesota,Duluth,55802,AW00029827,First Bike Store,United States,Missouri,Odessa,64076,Components,Road Frames,"LL Road Frame - Black, 52",FR-R38B-52,204.6251,337.22,0.0,5.0,77.1477,1686.1000000000001,1023.1255,662.9745000000001,277.23600000000016,0.0,SO43675,204.6251,337.22,0.0,2.0,18.9887,674.44,409.2502,265.18980000000005,227.21240000000006,0.0
SO46634,2006-07-01,Shu Ito,United States,California,San Francisco,94109,AW00029489,Area Bike Accessories,United States,California,Modesto,95354,Components,Road Frames,"LL Road Frame - Red, 44",FR-R38R-44,187.1571,337.22,0.0,1.0,6.817,337.22,187.1571,150.0629,143.2459,0.0,SO43680,187.1571,337.22,0.0,2.0,22.7841,674.44,374.3142,300.1258,254.55760000000004,0.0
SO46638,2006-07-01,Shu Ito,United States,California,San Francisco,94109,AW00029889,Separate Parts Corporation,United States,California,Monrovia,91016,Bikes,Road Bikes,"Road-650 Black, 58",BK-R50B-58,486.7066,782.99,0.0,2.0,35.1577,1565.98,973.4132,592.5668000000001,522.2514000000001,0.0,SO43678,486.7066,782.99,0.0,1.0,15.4946,782.99,486.7066,296.28340000000003,280.78880000000004,0.0
SO46638,2006-07-01,Shu Ito,United States,California,San Francisco,94109,AW00029889,Separate Parts Corporation,United States,California,Monrovia,91016,Bikes,Road Bikes,"Road-650 Red, 62",BK-R50R-62,486.7066,782.99,0.0,2.0,35.1577,1565.98,973.4132,592.5668000000001,522.2514000000001,0.0,SO43678,486.7066,782.99,0.0,2.0,15.4946,1565.98,973.4132,592.5668000000001,561.5776000000001,0.0
SO46638,2006-07-01,Shu Ito,United States,California,San Francisco,94109,AW00029889,Separate Parts Corporation,United States,California,Monrovia,91016,Bikes,Road Bikes,"Road-650 Black, 52",BK-R50B-52,486.7066,782.99,0.0,4.0,35.1577,3131.96,1946.8264,1185.1336000000001,1044.5028000000002,0.0,SO43678,486.7066,782.99,0.0,1.0,15.4946,782.99,486.7066,296.28340000000003,280.78880000000004,0.0
SO46638,2006-07-01,Shu Ito,United States,California,San Francisco,94109,AW00029889,Separate Parts Corporation,United States,California,Monrovia,91016,Accessories,Helmets,"Sport-100 Helmet, Blue",HL-U509-B,13.0863,34.99,0.1,4.0,35.1577,125.96400000000001,52.3452,73.61880000000002,-67.01199999999997,1.0,SO43678,13.0863,34.99,0.0,3.0,15.4946,104.97,39.2589,65.7111,19.2273,0.0
SO46638,2006-07-01,Shu Ito,United States,California,San Francisco,94109,AW00029889,Separate Parts Corporation,United States,California,Monrovia,91016,Clothing,Jerseys,"Long-Sleeve Logo Jersey, L",LJ-0192-L,38.4923,49.99,0.0,7.0,35.1577,349.93,269.4461,80.4839,-165.61999999999998,0.0,SO43678,38.4923,49.99,0.0,2.0,15.4946,99.98,76.9846,22.995400000000004,-7.993799999999997,0.0
SO46638,2006-07-01,Shu Ito,United States,California,San Francisco,94109,AW00029889,Separate Parts Corporation,United States,California,Monrovia,91016,Accessories,Helmets,"Sport-100 Helmet, Black",HL-U509,13.0863,34.99,0.1,2.0,35.1577,62.982000000000006,26.1726,36.80940000000001,-33.505999999999986,1.0,SO43678,13.0863,34.99,0.0,4.0,15.4946,139.96,52.3452,87.6148,25.636400000000002,0.0
SO46638,2006-07-01,Shu Ito,United States,California,San Francisco,94109,AW00029889,Separate Parts Corporation,United States,California,Monrovia,91016,Clothing,Jerseys,"Long-Sleeve Logo Jersey, XL",LJ-0192-X,38.4923,49.99,0.0,4.0,35.1577,199.96,153.9692,45.99080000000001,-94.63999999999999,0.0,SO43678,38.4923,49.99,0.0,1.0,15.4946,49.99,38.4923,11.497700000000002,-3.9968999999999983,0.0
SO46638,2006-07-01,Shu Ito,United States,California,San Francisco,94109,AW00029889,Separate Parts Corporation,United States,California,Monrovia,91016,Bikes,Road Bikes,"Road-650 Red, 60",BK-R50R-60,486.7066,782.99,0.0,1.0,35.1577,782.99,486.7066,296.28340000000003,261.12570000000005,0.0,SO43678,486.7066,782.99,0.0,1.0,15.4946,782.99,486.7066,296.28340000000003,280.78880000000004,0.0
SO46638,2006-07-01,Shu Ito,United States,California,San Francisco,94109,AW00029889,Separate Parts Corporation,United States,California,Monrovia,91016,Bikes,Road Bikes,"Road-650 Red, 44",BK-R50R-44,486.7066,782.99,0.3,2.0,35.1577,1096.186,973.4132,122.77279999999996,52.457399999999964,1.0,SO43678,486.7066,782.99,0.0,3.0,15.4946,2348.9700000000003,1460.1198,888.8502000000003,842.3664000000003,0.0
SO46638,2006-07-01,Shu Ito,United States,California,San Francisco,94109,AW00029889,Separate Parts Corporation,United States,California,Monrovia,91016,Components,Road Frames,"LL Road Frame - Black, 52",FR-R38B-52,204.6251,337.22,0.0,2.0,35.1577,674.44,409.2502,265.18980000000005,194.87440000000004,0.0,SO43678,204.6251,337.22,0.0,2.0,15.4946,674.44,409.2502,265.18980000000005,234.20060000000004,0.0
SO46638,2006-07-01,Shu Ito,United States,California,San Francisco,94109,AW00029889,Separate Parts Corporation,United States,California,Monrovia,91016,Clothing,Caps,AWC Logo Cap,CA-1098,6.9223,8.99,0.0,9.0,35.1577,80.91,62.3007,18.609299999999998,-297.80999999999995,0.0,SO43678,6.9223,8.99,0.0,3.0,15.4946,26.97,20.7669,6.203099999999999,-40.2807,0.0
SO46638,2006-07-01,Shu Ito,United States,California,San Francisco,94109,AW00029889,Separate Parts Corporation,United States,California,Monrovia,91016,Accessories,Helmets,"Sport-100 Helmet, Red",HL-U509-R,13.0863,34.99,0.1,3.0,35.1577,94.47300000000001,39.2589,55.214100000000016,-50.25899999999997,1.0,SO43678,13.0863,34.99,0.0,1.0,15.4946,34.99,13.0863,21.9037,6.4091000000000005,0.0
SO46638,2006-07-01,Shu Ito,United States,California,San Francisco,94109,AW00029889,Separate Parts Corporation,United States,California,Monrovia,91016,Components,Road Frames,"LL Road Frame - Red, 44",FR-R38R-44,187.1571,337.22,0.0,1.0,35.1577,337.22,187.1571,150.0629,114.90520000000001,0.0,SO43678,187.1571,337.22,0.0,2.0,15.4946,674.44,374.3142,300.1258,269.13660000000004,0.0
SO46660,2006-07-01,Jillian Carson,United States,Minnesota,Duluth,55802,AW00029646,Fitness Toy Store,United States,Texas,Garland,75040,Bikes,Road Bikes,"Road-650 Black, 44",BK-R50B-44,486.7066,782.99,0.0,8.0,81.7645,6263.92,3893.6528,2370.2672000000002,1716.1512000000002,0.0,SO43689,486.7066,782.99,0.0,2.0,48.6829,1565.98,973.4132,592.5668000000001,495.2010000000001,0.0
SO46660,2006-07-01,Jillian Carson,United States,Minnesota,Duluth,55802,AW00029646,Fitness Toy Store,United States,Texas,Garland,75040,Components,Road Frames,"LL Road Frame - Black, 58",FR-R38B-58,204.6251,337.22,0.0,7.0,81.7645,2360.54,1432.3757,928.1642999999999,355.8127999999999,0.0,SO43689,204.6251,337.22,0.0,1.0,48.6829,337.22,204.6251,132.59490000000002,83.91200000000003,0.0
SO46660,2006-07-01,Jillian Carson,United States,Minnesota,Duluth,55802,AW00029646,Fitness Toy Store,United States,Texas,Garland,75040,Bikes,Road Bikes,"Road-650 Black, 60",BK-R50B-60,486.7066,782.99,0.0,6.0,81.7645,4697.9400000000005,2920.2396,1777.7004000000006,1287.1134000000006,0.0,SO43689,486.7066,782.99,0.0,4.0,48.6829,3131.96,1946.8264,1185.1336000000001,990.4020000000002,0.0
SO46660,2006-07-01,Jillian Carson,United States,Minnesota,Duluth,55802,AW00029646,Fitness Toy Store,United States,Texas,Garland,75040,Bikes,Road Bikes,"Road-650 Red, 48",BK-R50R-48,486.7066,782.99,0.0,6.0,81.7645,4697.9400000000005,2920.2396,1777.7004000000006,1287.1134000000006,0.0,SO43689,486.7066,782.99,0.0,6.0,48.6829,4697.9400000000005,2920.2396,1777.7004000000006,1485.6030000000005,0.0
SO46660,2006-07-01,Jillian Carson,United States,Minnesota,Duluth,55802,AW00029646,Fitness Toy Store,United States,Texas,Garland,75040,Components,Road Frames,"LL Road Frame - Red, 62",FR-R38R-62,187.1571,337.22,0.0,7.0,81.7645,2360.54,1310.0997000000002,1050.4402999999998,478.08879999999976,0.0,SO43689,187.1571,337.22,0.0,2.0,48.6829,674.44,374.3142,300.1258,202.76000000000005,0.0
SO46660,2006-07-01,Jillian Carson,United States,Minnesota,Duluth,55802,AW00029646,Fitness Toy Store,United States,Texas,Garland,75040,Bikes,Road Bikes,"Road-650 Black, 58",BK-R50B-58,486.7066,782.99,0.05,21.0,81.7645,15620.6505,10220.8386,5399.811900000001,3682.7574000000004,1.0,SO43689,486.7066,782.99,0.0,5.0,48.6829,3914.95,2433.533,1481.417,1238.0025,0.0
SO46660,2006-07-01,Jillian Carson,United States,Minnesota,Duluth,55802,AW00029646,Fitness Toy Store,United States,Texas,Garland,75040,Bikes,Road Bikes,"Road-650 Red, 62",BK-R50R-62,486.7066,782.99,0.0,6.0,81.7645,4697.9400000000005,2920.2396,1777.7004000000006,1287.1134000000006,0.0,SO43689,486.7066,782.99,0.0,2.0,48.6829,1565.98,973.4132,592.5668000000001,495.2010000000001,0.0
SO46660,2006-07-01,Jillian Carson,United States,Minnesota,Duluth,55802,AW00029646,Fitness Toy Store,United States,Texas,Garland,75040,Bikes,Road Bikes,"Road-650 Black, 52",BK-R50B-52,486.7066,782.99,0.05,21.0,81.7645,15620.6505,10220.8386,5399.811900000001,3682.7574000000004,1.0,SO43689,486.7066,782.99,0.0,2.0,48.6829,1565.98,973.4132,592.5668000000001,495.2010000000001,0.0
SO46660,2006-07-01,Jillian Carson,United States,Minnesota,Duluth,55802,AW00029646,Fitness Toy Store,United States,Texas,Garland,75040,Bikes,Road Bikes,"Road-650 Red, 44",BK-R50R-44,486.7066,782.99,0.3,16.0,81.7645,8769.488,7787.3056,982.1823999999997,-326.0496000000003,1.0,SO43689,486.7066,782.99,0.0,9.0,48.6829,7046.91,4380.359399999999,2666.5506000000005,2228.4045000000006,0.0
SO46660,2006-07-01,Jillian Carson,United States,Minnesota,Duluth,55802,AW00029646,Fitness Toy Store,United States,Texas,Garland,75040,Bikes,Road Bikes,"Road-650 Red, 52",BK-R50R-52,486.7066,782.99,0.0,2.0,81.7645,1565.98,973.4132,592.5668000000001,429.03780000000006,0.0,SO43689,486.7066,782.99,0.0,3.0,48.6829,2348.9700000000003,1460.1198,888.8502000000003,742.8015000000003,0.0
SO46660,2006-07-01,Jillian Carson,United States,Minnesota,Duluth,55802,AW00029646,Fitness Toy Store,United States,Texas,Garland,75040,Bikes,Road Bikes,"Road-650 Red, 60",BK-R50R-60,486.7066,782.99,0.02,12.0,81.7645,9207.9624,5840.4792,3367.4832000000006,2386.3092000000006,1.0,SO43689,486.7066,782.99,0.0,7.0,48.6829,5480.93,3406.9462,2073.9838000000004,1733.2035000000005,0.0
SO46660,2006-07-01,Jillian Carson,United States,Minnesota,Duluth,55802,AW00029646,Fitness Toy Store,United States,Texas,Garland,75040,Components,Road Frames,"LL Road Frame - Red, 60",FR-R38R-60,187.1571,337.22,0.0,10.0,81.7645,3372.2000000000003,1871.5710000000001,1500.6290000000001,682.9840000000002,0.0,SO43689,187.1571,337.22,0.0,2.0,48.6829,674.44,374.3142,300.1258,202.76000000000005,0.0
SO46660,2006-07-01,Jillian Carson,United States,Minnesota,Duluth,55802,AW00029646,Fitness Toy Store,United States,Texas,Garland,75040,Components,Road Frames,"LL Road Frame - Red, 48",FR-R38R-48,187.1571,337.22,0.0,2.0,81.7645,674.44,374.3142,300.1258,136.59680000000003,0.0,SO43689,187.1571,337.22,0.0,3.0,48.6829,1011.6600000000001,561.4713,450.18870000000004,304.14000000000004,0.0
SO46660,2006-07-01,Jillian Carson,United States,Minnesota,Duluth,55802,AW00029646,Fitness Toy Store,United States,Texas,Garland,75040,Components,Road Frames,"LL Road Frame - Black, 52",FR-R38B-52,204.6251,337.22,0.0,7.0,81.7645,2360.54,1432.3757,928.1642999999999,355.8127999999999,0.0,SO43689,204.6251,337.22,0.0,2.0,48.6829,674.44,409.2502,265.18980000000005,167.82400000000007,0.0
SO46664,2006-07-01,Michael Blythe,United States,Michigan,Detroit,48226,AW00029533,Small Cycle Store,United States,Michigan,Holland,49423,Clothing,Jerseys,"Long-Sleeve Logo Jersey, L",LJ-0192-L,38.4923,49.99,0.0,3.0,21.3071,149.97,115.4769,34.4931,-29.428199999999997,0.0,SO43690,38.4923,49.99,0.0,1.0,9.7033,49.99,38.4923,11.497700000000002,1.7944000000000013,0.0
SO46664,2006-07-01,Michael Blythe,United States,Michigan,Detroit,48226,AW00029533,Small Cycle Store,United States,Michigan,Holland,49423,Clothing,Caps,AWC Logo Cap,CA-1098,6.9223,8.99,0.0,3.0,21.3071,26.97,20.7669,6.203099999999999,-57.718199999999996,0.0,SO43690,6.9223,8.99,0.0,2.0,9.7033,17.98,13.8446,4.135400000000001,-15.2712,0.0
SO46664,2006-07-01,Michael Blythe,United States,Michigan,Detroit,48226,AW00029533,Small Cycle Store,United States,Michigan,Holland,49423,Bikes,Road Bikes,"Road-650 Red, 60",BK-R50R-60,486.7066,782.99,0.0,5.0,21.3071,3914.95,2433.533,1481.417,1374.8815,0.0,SO43690,486.7066,782.99,0.0,2.0,9.7033,1565.98,973.4132,592.5668000000001,573.1602,0.0
SO46664,2006-07-01,Michael Blythe,United States,Michigan,Detroit,48226,AW00029533,Small Cycle Store,United States,Michigan,Holland,49423,Bikes,Road Bikes,"Road-650 Black, 52",BK-R50B-52,486.7066,782.99,0.0,3.0,21.3071,2348.9700000000003,1460.1198,888.8502000000003,824.9289000000003,0.0,SO43690,486.7066,782.99,0.0,1.0,9.7033,782.99,486.7066,296.28340000000003,286.5801,0.0
SO46668,2006-07-01,Shu Ito,United States,California,San Francisco,94109,AW00029992,Bike Dealers Association,United States,New Mexico,Las Cruces,88001,Components,Road Frames,"LL Road Frame - Black, 52",FR-R38B-52,204.6251,337.22,0.0,1.0,34.2427,337.22,204.6251,132.59490000000002,98.35220000000002,0.0,SO43692,204.6251,337.22,0.0,2.0,41.2544,674.44,409.2502,265.18980000000005,182.68100000000004,0.0
SO46668,2006-07-01,Shu Ito,United States,California,San Francisco,94109,AW00029992,Bike Dealers Association,United States,New Mexico,Las Cruces,88001,Bikes,Road Bikes,"Road-650 Black, 60",BK-R50B-60,486.7066,782.99,0.0,2.0,34.2427,1565.98,973.4132,592.5668000000001,524.0814,0.0,SO43692,486.7066,782.99,0.0,1.0,41.2544,782.99,486.7066,296.28340000000003,255.02900000000002,0.0
SO46668,2006-07-01,Shu Ito,United States,California,San Francisco,94109,AW00029992,Bike Dealers Association,United States,New Mexico,Las Cruces,88001,Components,Road Frames,"LL Road Frame - Red, 44",FR-R38R-44,187.1571,337.22,0.0,7.0,34.2427,2360.54,1310.0997000000002,1050.4402999999998,810.7413999999998,0.0,SO43692,187.1571,337.22,0.0,1.0,41.2544,337.22,187.1571,150.0629,108.80850000000001,0.0
SO46668,2006-07-01,Shu Ito,United States,California,San Francisco,94109,AW00029992,Bike Dealers Association,United States,New Mexico,Las Cruces,88001,Bikes,Road Bikes,"Road-650 Black, 52",BK-R50B-52,486.7066,782.99,0.05,17.0,34.2427,12645.2885,8274.0122,4371.276300000001,3789.1504000000014,1.0,SO43692,486.7066,782.99,0.0,5.0,41.2544,3914.95,2433.533,1481.417,1275.145,0.0
SO46668,2006-07-01,Shu Ito,United States,California,San Francisco,94109,AW00029992,Bike Dealers Association,United States,New Mexico,Las Cruces,88001,Clothing,Jerseys,"Long-Sleeve Logo Jersey, L",LJ-0192-L,38.4923,49.99,0.0,6.0,34.2427,299.94,230.9538,68.9862,-136.47,0.0,SO43692,38.4923,49.99,0.0,10.0,41.2544,499.90000000000003,384.923,114.97700000000003,-297.56699999999995,0.0
SO46668,2006-07-01,Shu Ito,United States,California,San Francisco,94109,AW00029992,Bike Dealers Association,United States,New Mexico,Las Cruces,88001,Bikes,Road Bikes,"Road-650 Red, 52",BK-R50R-52,486.7066,782.99,0.0,5.0,34.2427,3914.95,2433.533,1481.417,1310.2034999999998,0.0,SO43692,486.7066,782.99,0.0,1.0,41.2544,782.99,486.7066,296.28340000000003,255.02900000000002,0.0
SO46668,2006-07-01,Shu Ito,United States,California,San Francisco,94109,AW00029992,Bike Dealers Association,United States,New Mexico,Las Cruces,88001,Bikes,Road Bikes,"Road-650 Black, 44",BK-R50B-44,486.7066,782.99,0.0,1.0,34.2427,782.99,486.7066,296.28340000000003,262.0407,0.0,SO43692,486.7066,782.99,0.0,1.0,41.2544,782.99,486.7066,296.28340000000003,255.02900000000002,0.0
SO46668,2006-07-01,Shu Ito,United States,California,San Francisco,94109,AW00029992,Bike Dealers Association,United States,New Mexico,Las Cruces,88001,Bikes,Road Bikes,"Road-650 Red, 62",BK-R50R-62,486.7066,782.99,0.0,6.0,34.2427,4697.9400000000005,2920.2396,1777.7004000000006,1572.2442000000005,0.0,SO43692,486.7066,782.99,0.0,3.0,41.2544,2348.9700000000003,1460.1198,888.8502000000003,765.0870000000003,0.0
SO46668,2006-07-01,Shu Ito,United States,California,San Francisco,94109,AW00029992,Bike Dealers Association,United States,New Mexico,Las Cruces,88001,Bikes,Road Bikes,"Road-650 Red, 60",BK-R50R-60,486.7066,782.99,0.0,7.0,34.2427,5480.93,3406.9462,2073.9838000000004,1834.2849000000006,0.0,SO43692,486.7066,782.99,0.0,7.0,41.2544,5480.93,3406.9462,2073.9838000000004,1785.2030000000004,0.0
